# Teff     logg   Av    Bessell_U   Bessell_B   Bessell_V   Bessell_R   Bessell_I   Gaia_G   Gaia_BP   Gaia_RP   VISTA_Z     VISTA_Y    VISTA_J    VISTA_H    VISTA_Ks   DECam_u     DECam_g     DECam_r     DECam_i     DECam_z     DECam_Y     LSST_u      LSST_g      LSST_r      LSST_i      LSST_z      LSST_y      SDSS_u      SDSS_g      SDSS_r      SDSS_i      SDSS_z     
  2800.0   -1.0   0.0   -8.24683    -8.298758   -6.645698   -4.404549   -2.223449   -3.747962     -6.778191      -2.226033      -1.196961   0.287018   1.887117   2.964674   3.374477   -6.733706   -7.132625   -5.21183    -2.913329   -1.33465    -0.618263   -8.878979   -7.628607   -5.63939    -3.214397   -1.919557   -0.803076   -9.229207   -7.831025   -5.721767   -3.259924   -1.534416  
  2800.0   -0.5   0.0   -7.724043   -7.819334   -6.294136   -4.128287   -1.979066   -3.507969     -6.430613      -2.000596      -1.003444   0.431843   1.926338   2.973243   3.340278   -6.479898   -6.792158   -4.918493   -2.660613   -1.13148    -0.446485   -8.353141   -7.217684   -5.330104   -2.955351   -1.696469   -0.620295   -8.707968   -7.404236   -5.40706    -3.000238   -1.329727  
  2800.0   0.0    0.0   -7.724043   -7.819334   -6.294136   -4.128287   -1.979066   -3.507969     -6.430613      -2.000596      -1.003444   0.431843   1.926338   2.973243   3.340278   -6.479898   -6.792158   -4.918493   -2.660613   -1.13148    -0.446485   -8.353141   -7.217684   -5.330104   -2.955351   -1.696469   -0.620295   -8.707968   -7.404236   -5.40706    -3.000238   -1.329727  
  2800.0   0.5    0.0   -6.69013    -6.852774   -5.656379   -3.605517   -1.48202    -3.02279      -5.794729      -1.538227      -0.590797   0.743843   2.020079   2.962519   3.239251   -5.898318   -6.094548   -4.406344   -2.153516   -0.706313   -0.083645   -7.313065   -6.41735    -4.802463   -2.437665   -1.236394   -0.23402    -7.680983   -6.564119   -4.869765   -2.481467   -0.902378  
  2800.0   1.0    0.0   -6.206976   -6.400618   -5.411404   -3.388838   -1.25263    -2.801899     -5.542912      -1.323634      -0.391427   0.892573   2.067384   2.942144   3.175885   -5.592561   -5.772865   -4.223174   -1.9225     -0.503835   0.088645    -6.827483   -6.062607   -4.626075   -2.203507   -1.019662   -0.049294   -7.201077   -6.184803   -4.690434   -2.246772   -0.699476  
  2800.0   1.5    0.0   -5.770157   -5.994311   -5.234994   -3.21362    -1.05072    -2.60937      -5.347926      -1.133819      -0.211151   1.027142   2.111974   2.91106    3.107045   -5.298129   -5.492724   -4.099507   -1.720823   -0.321033   0.244266    -6.388598   -5.759619   -4.519856   -1.999538   -0.826012   0.118266    -6.764808   -5.854756   -4.583529   -2.042123   -0.516938  
  2800.0   2.0    0.0   -5.770157   -5.994311   -5.234994   -3.21362    -1.05072    -2.60937      -5.347926      -1.133819      -0.211151   1.027142   2.111974   2.91106    3.107045   -5.298129   -5.492724   -4.099507   -1.720823   -0.321033   0.244266    -6.388598   -5.759619   -4.519856   -1.999538   -0.826012   0.118266    -6.764808   -5.854756   -4.583529   -2.042123   -0.516938  
  2800.0   2.5    0.0   -5.153154   -5.385615   -4.949667   -2.91798    -0.723424   -2.298847     -5.01257       -0.831976      0.073176    1.230212   2.186824   2.812817   2.968897   -4.847084   -5.055552   -3.887934   -1.391917   -0.039573   0.47864     -5.760827   -5.289252   -4.328231   -1.663421   -0.523554   0.373147    -6.128777   -5.349603   -4.388979   -1.705388   -0.234114  
  2800.0   3.0    0.0   -5.071897   -5.154849   -4.548718   -2.634768   -0.489139   -2.07718      -4.662781      -0.637214      0.244517    1.297625   2.181733   2.704188   2.905688   -4.74941    -4.739203   -3.549541   -1.143428   0.099612    0.565135    -5.670001   -4.936826   -3.954381   -1.407919   -0.339114   0.477015    -6.03107    -5.023093   -4.005593   -1.451855   -0.081823  
  2800.0   3.5    0.0   -5.166696   -5.01821    -4.136604   -2.363918   -0.293067   -1.886085     -4.312241      -0.478271      0.379039    1.31838    2.145929   2.614156   2.868966   -4.765915   -4.456778   -3.190142   -0.931376   0.193948    0.603947    -5.75324    -4.622131   -3.549524   -1.189934   -0.193576   0.532512    -6.109306   -4.746969   -3.590104   -1.236152   0.029471   
  2800.0   4.0    0.0   -5.416052   -5.035049   -3.944533   -2.233347   -0.203718   -1.798666     -4.153768      -0.407059      0.43769     1.307655   2.121683   2.586551   2.859413   -4.887033   -4.341018   -2.95378    -0.826931   0.225123    0.599748    -6.001033   -4.493117   -3.288959   -1.079503   -0.133216   0.539683    -6.35448    -4.650332   -3.325813   -1.126163   0.070837   
  2800.0   4.5    0.0   -5.802682   -5.159346   -3.851796   -2.153051   -0.163194   -1.75682      -4.077837      -0.375818      0.457755    1.274483   2.104086   2.587971   2.859812   -5.046287   -4.345021   -2.890351   -0.783618   0.241557    0.591638    -6.35974    -4.498927   -3.208561   -1.03983    -0.104848   0.542424    -6.710942   -4.686645   -3.238275   -1.087699   0.090836   
  2800.0   5.0    0.0   -6.312003   -5.416872   -3.96613    -2.193193   -0.154697   -1.765687     -4.198147      -0.371053      0.472683    1.251278   2.122262   2.643107   2.889173   -5.215169   -4.476022   -2.976786   -0.774923   0.262978    0.59297     -6.848251   -4.653226   -3.297313   -1.044759   -0.086479   0.557468    -7.19266    -4.873888   -3.320937   -1.093992   0.109211   
  3000.0   -1.0   0.0   -7.959649   -7.484211   -6.019841   -3.798246   -1.595163   -3.166536     -6.209206      -1.669921      -0.756114   0.672916   1.892833   2.8916     3.291783   -6.319178   -6.449554   -4.763954   -2.273474   -0.840326   -0.182951   -8.594824   -6.850841   -5.181101   -2.514667   -1.400606   -0.34895    -8.97659    -7.013545   -5.252571   -2.560361   -1.045572  
  3000.0   -0.5   0.0   -7.542986   -7.236097   -5.851231   -3.711578   -1.553292   -3.11693      -6.025543      -1.631277      -0.72056    0.677009   1.899277   2.913564   3.284583   -6.22391    -6.312362   -4.608981   -2.225053   -0.813635   -0.17054    -8.175052   -6.669655   -5.006428   -2.470216   -1.362019   -0.330919   -8.554414   -6.826923   -5.074828   -2.515323   -1.015827  
  3000.0   0.0    0.0   -7.094935   -6.893729   -5.598987   -3.543553   -1.428364   -2.988364     -5.765145      -1.517434      -0.617059   0.726283   1.916732   2.926396   3.263225   -6.05164    -6.076399   -4.389373   -2.092179   -0.720621   -0.10459    -7.723979   -6.38566    -4.769189   -2.338649   -1.249096   -0.254495   -8.104386   -6.534709   -4.833674   -2.383226   -0.91867   
