# Teff   logg   Av   Bessell_U   Bessell_B   Bessell_V   Bessell_R   Bessell_I   Gaia_G_EDR3   Gaia_BP_EDR3   Gaia_RP_EDR3   VISTA_Z     VISTA_Y    VISTA_J    VISTA_H    VISTA_Ks   DECam_u     DECam_g     DECam_r     DECam_i     DECam_z     DECam_Y     LSST_u      LSST_g      LSST_r      LSST_i      LSST_z      LSST_y     
  2800.0   -1.0     0.0    -8.010621   -7.647651   -6.128686   -3.845214   -1.614891   -3.179278     -6.306443      -1.669092      -0.722899   0.688877   1.928539   2.977071   3.318376   -6.29927    -6.543031   -4.810705   -2.302901   -0.816265   -0.158601   -8.628114   -6.995083   -5.246465   -2.561972   -1.379873   -0.324992  
  2800.0   -0.5     0.0    -7.46153    -7.164192   -5.787759   -3.584751   -1.378241   -2.951105     -5.968897      -1.456449      -0.531149   0.807704   1.969015   2.974403   3.270047   -6.067832   -6.202875   -4.536654   -2.057784   -0.63276    -0.015897   -8.078815   -6.586143   -4.959338   -2.313917   -1.168688   -0.166563  
  2800.0   0.0      0.0    -7.46153    -7.164192   -5.787759   -3.584751   -1.378241   -2.951105     -5.968897      -1.456449      -0.531149   0.807704   1.969015   2.974403   3.270047   -6.067832   -6.202875   -4.536654   -2.057784   -0.63276    -0.015897   -8.078815   -6.586143   -4.959338   -2.313917   -1.168688   -0.166563  
  2800.0   0.5      0.0    -6.408708   -6.235223   -5.206899   -3.123517   -0.924902   -2.518755     -5.389393      -1.049313      -0.153878   1.040106   2.050568   2.937024   3.148828   -5.551437   -5.535909   -4.099132   -1.592682   -0.278122   0.259194    -7.027128   -5.821455   -4.52353    -1.845684   -0.760315   0.139612   
  2800.0   1.0      0.0    -5.943834   -5.829688   -4.979316   -2.934234   -0.729343   -2.333428     -5.152244      -0.874063      0.010855    1.1426     2.088655   2.902816   3.080921   -5.290547   -5.243863   -3.934838   -1.393415   -0.125395   0.378235    -6.564373   -5.497269   -4.368488   -1.644845   -0.584451   0.271633   
  2800.0   1.5      0.0    -5.552217   -5.491379   -4.821756   -2.792124   -0.568876   -2.183339     -4.978699      -0.730332      0.148076    1.230166   2.123905   2.859872   3.01362    -5.05415    -5.005301   -3.835954   -1.231132   0.002155    0.478968    -6.175173   -5.237318   -4.289562   -1.48188    -0.438777   0.382612   
  2800.0   2.0      0.0    -5.400647   -5.288646   -4.687096   -2.665431   -0.480605   -2.075489     -4.818659      -0.638517      0.233625    1.261378   2.12717    2.770512   2.969246   -4.944575   -4.804091   -3.700332   -1.141896   0.069063    0.520726    -6.00887    -5.050841   -4.17905    -1.39462    -0.351179   0.431322   
  2800.0   2.5      0.0    -5.187543   -4.994082   -4.227692   -2.387574   -0.231955   -1.855791     -4.414517      -0.440961      0.408741    1.340406   2.143511   2.681109   2.887147   -4.787215   -4.481907   -3.339431   -0.875383   0.216252    0.617789    -5.806475   -4.659131   -3.743491   -1.123465   -0.160706   0.546387   
  2800.0   3.0      0.0    -5.26906    -4.868187   -3.860448   -2.164768   -0.092941   -1.71061      -4.086503      -0.32575       0.50555     1.339695   2.109044   2.600733   2.856696   -4.804875   -4.23755    -3.004896   -0.721925   0.277119    0.632453    -5.878335   -4.387404   -3.356957   -0.969397   -0.056247   0.574197   
  2800.0   3.5      0.0    -5.501148   -4.884959   -3.686638   -2.053833   -0.031697   -1.645615     -3.933531      -0.277215      0.544418    1.315086   2.080722   2.577318   2.850484   -4.90717    -4.147731   -2.836749   -0.651913   0.294872    0.620207    -6.095453   -4.287691   -3.157746   -0.901225   -0.013079   0.571137   
  2800.0   4.0      0.0    -5.874799   -5.030606   -3.679203   -2.037103   -0.016357   -1.636772     -3.935737      -0.269336      0.552777    1.281684   2.069086   2.586005   2.853908   -5.054144   -4.155767   -2.732953   -0.612419   0.301275    0.603402    -6.44105    -4.296874   -3.037397   -0.863866   0.006955    0.563853   
  2800.0   4.5      0.0    -6.453274   -5.310175   -3.754893   -2.03971    -0.01327    -1.642802     -4.00462       -0.270404      0.551749    1.237639   2.086218   2.645491   2.882721   -5.24621    -4.319865   -2.819758   -0.621234   0.29728     0.579411    -7.00751    -4.482488   -3.118722   -0.886207   0.002238    0.553233   
  2800.0   5.0      0.0    -7.271905   -5.759737   -3.932779   -2.158683   -0.128715   -1.762674     -4.169616      -0.383418      0.450165    1.088941   2.017124   2.665234   2.903051   -5.494362   -4.578776   -2.924386   -0.725478   0.197044    0.454306    -7.81097    -4.760645   -3.207394   -1.007093   -0.095603   0.442972   
  3000.0   -1.0     0.0    -7.845797   -6.885379   -5.329769   -3.233816   -1.056253   -2.665498     -5.577738      -1.206617      -0.334856   0.837748   1.850467   2.906566   3.262362   -6.044488   -5.808009   -4.198511   -1.715673   -0.471313   0.053754    -8.467394   -6.112874   -4.60644    -1.947703   -0.940255   -0.063134  
  3000.0   -0.5     0.0    -7.365603   -6.578542   -5.150564   -3.116856   -0.966083   -2.572891     -5.388142      -1.124431      -0.261275   0.87946    1.872349   2.919263   3.237482   -5.914489   -5.619097   -4.049654   -1.6203     -0.404435   0.104518    -7.986867   -5.890374   -4.445125   -1.8518     -0.861198   -0.006168  
  3000.0   0.0      0.0    -6.871681   -6.215987   -4.914406   -2.956794   -0.835017   -2.440392     -5.143934      -1.005522      -0.152426   0.939221   1.899724   2.922261   3.201086   -5.735551   -5.368694   -3.856012   -1.483418   -0.307708   0.176399    -7.492907   -5.604328   -4.239046   -1.715097   -0.74508    0.074971   
  3000.0   0.5      0.0    -6.384956   -5.827315   -4.640066   -2.768023   -0.678373   -2.282178     -4.862925      -0.863704      -0.021927   1.010082   1.930655   2.915437   3.154502   -5.518472   -5.07721    -3.63134    -1.320001   -0.193098   0.260803    -7.007126   -5.278814   -4.000913   -1.551923   -0.606055   0.170194   
  3000.0   1.0      0.0    -5.929045   -5.442849   -4.356669   -2.571245   -0.511317   -2.113854     -4.575089      -0.712878      0.117491    1.085838   1.963237   2.898259   3.098947   -5.280364   -4.771398   -3.403609   -1.146218   -0.071814   0.349964    -6.553814   -4.943867   -3.76089    -1.378366   -0.457978   0.270326   
  3000.0   1.5      0.0    -5.525125   -5.090017   -4.096323   -2.388899   -0.349307   -1.951926     -4.31223       -0.567115      0.253234    1.161      1.996092   2.8703     3.036506   -5.043981   -4.481258   -3.203005   -0.978791   0.045749    0.437103    -6.154696   -4.631303   -3.551967   -1.211251   -0.314528   0.367368   
  3000.0   2.0      0.0    -5.193894   -4.790134   -3.872357   -2.229186   -0.203321   -1.806692     -4.085543      -0.435965      0.375507    1.230585   2.027961   2.829251   2.969839   -4.834807   -4.228779   -3.033447   -0.828308   0.1519      0.516773    -5.829893   -4.362576   -3.375718   -1.060785   -0.185675   0.45533    
  3000.0   2.5      0.0    -4.96336    -4.529251   -3.603673   -2.04095    -0.051347   -1.650745     -3.82292       -0.299639      0.499072    1.291534   2.04761    2.752138   2.898289   -4.674329   -3.970686   -2.811314   -0.669252   0.254507    0.588624    -5.603232   -4.08835    -3.134914   -0.900724   -0.055481   0.536064   
  3000.0   3.0      0.0    -4.958089   -4.362987   -3.270587   -1.803869   0.070282    -1.494454     -3.509468      -0.183427      0.590222    1.302619   2.024883   2.633058   2.843523   -4.639953   -3.721653   -2.49344    -0.535008   0.313862    0.610473    -5.588283   -3.828658   -2.782018   -0.760542   0.040362    0.565593   
  3000.0   3.5      0.0    -5.027478   -4.27957    -3.040462   -1.636034   0.156015    -1.387381     -3.291011      -0.103667      0.651052    1.30166    2.005862   2.568349   2.804357   -4.654353   -3.567065   -2.267261   -0.43924    0.352197    0.6194      -5.650494   -3.66346    -2.52535    -0.661166   0.105214    0.581592   
  3000.0   4.0      0.0    -5.106997   -4.183715   -2.800059   -1.466873   0.25125     -1.285871     -3.053698      -0.02266       0.716771    1.300609   1.994236   2.542962   2.778427   -4.704107   -3.415178   -2.023215   -0.332982   0.393619    0.628491    -5.730877   -3.492024   -2.245372   -0.553934   0.176375    0.599484   
  3000.0   4.5      0.0    -5.434529   -4.305918   -2.806062   -1.453196   0.266077    -1.278568     -3.058498      -0.014228      0.727541    1.274464   1.989688   2.559033   2.788766   -4.858785   -3.462077   -2.012686   -0.315125   0.397364    0.613572    -6.041385   -3.541328   -2.22031    -0.543595   0.189865    0.591887   
  3000.0   5.0      0.0    -5.900237   -4.494387   -2.866593   -1.456082   0.29584     -1.268715     -3.10923       0.006706       0.757534    1.26125    2.011275   2.622062   2.838142   -5.027254   -3.548163   -2.03945    -0.281217   0.424057    0.616812    -6.486345   -3.634188   -2.233078   -0.522673   0.224525    0.606335   
  3200.0   -1.0     0.0    -7.472162   -5.463833   -3.563365   -2.059049   -0.247417   -1.816584     -3.868421      -0.5009        0.267245    0.997178   1.791884   2.793104   3.135814   -5.687392   -4.299549   -2.658521   -0.846013   -0.025486   0.280942    -8.094478   -4.417399   -2.941837   -1.059642   -0.28754    0.22489    
  3200.0   -0.5     0.0    -7.083771   -5.347189   -3.613457   -2.112511   -0.272361   -1.845427     -3.917803      -0.523884      0.247448    0.996741   1.796515   2.816531   3.13303    -5.626729   -4.27986    -2.736936   -0.87397    -0.03296    0.282529    -7.707085   -4.396839   -3.026919   -1.088535   -0.308547   0.227073   
  3200.0   0.0      0.0    -6.671512   -5.202913   -3.62255    -2.126974   -0.274638   -1.847578     -3.917667      -0.52446       0.247021    1.007596   1.80866    2.833093   3.121209   -5.527291   -4.235409   -2.764099   -0.877516   -0.02523    0.295464    -7.295743   -4.349358   -3.056171   -1.092001   -0.309287   0.240661   
  3200.0   0.5      0.0    -6.247001   -5.02385    -3.583474   -2.101873   -0.249704   -1.81983      -3.865723      -0.49947       0.269532    1.0303     1.827042   2.842195   3.099644   -5.384126   -4.153503   -2.742042   -0.852453   4.84E-4     0.321115    -6.872747   -4.262374   -3.032716   -1.066359   -0.286057   0.267712   
  3200.0   1.0      0.0    -5.832196   -4.813926   -3.49771    -2.041383   -0.197764   -1.763413     -3.766983      -0.449698      0.314786    1.064203   1.850405   2.842704   3.067887   -5.203255   -4.031172   -2.677885   -0.799088   0.044257    0.359228    -6.461091   -4.133355   -2.964603   -1.01229    -0.238855   0.308295   
  3200.0   1.5      0.0    -5.450212   -4.582251   -3.367558   -1.948819   -0.121036   -1.680679     -3.626037      -0.37737       0.380792    1.107662   1.877277   2.833211   3.025907   -5.002      -3.870994   -2.576532   -0.719947   0.104227    0.408107    -6.084386   -3.965246   -2.85643    -0.932432   -0.169897   0.360748   
  3200.0   2.0      0.0    -5.119259   -4.341647   -3.196737   -1.826796   -0.024257   -1.575514     -3.44774       -0.286578      0.463182    1.157688   1.905901   2.811759   2.97406    -4.803469   -3.681009   -2.439871   -0.619803   0.176474    0.464504    -5.760635   -3.766476   -2.708683   -0.831325   -0.083822   0.421627   
  3200.0   2.5      0.0    -4.850871   -4.105477   -2.986727   -1.673034   0.089897    -1.449051     -3.234382      -0.179114      0.55897     1.21198    1.931667   2.769039   2.911439   -4.626352   -3.470419   -2.263097   -0.50101    0.258128    0.525936    -5.499593   -3.546652   -2.515661   -0.710595   0.016085    0.488217   
  3200.0   3.0      0.0    -4.647117   -3.857787   -2.680727   -1.44297    0.233506    -1.278298     -2.932434      -0.041104      0.674893    1.265542   1.940722   2.665383   2.83035    -4.475031   -3.205756   -1.981984   -0.348091   0.350605    0.588493    -5.298231   -3.269912   -2.20708    -0.551687   0.13697     0.55699    
  3200.0   3.5      0.0    -4.553808   -3.67418    -2.394286   -1.218235   0.343727    -1.129147     -2.648491      0.06988        0.757686    1.288233   1.931002   2.559381   2.75823    -4.401536   -2.9864     -1.697772   -0.226568   0.409522    0.618593    -5.205535   -3.039228   -1.892954   -0.421108   0.223507    0.592047   
  3200.0   4.0      0.0    -4.583445   -3.596184   -2.220119   -1.071732   0.403539    -1.039123     -2.47356       0.132682       0.798619    1.286375   1.917546   2.508972   2.720019   -4.416311   -2.872825   -1.513529   -0.158178   0.43407     0.6223      -5.234349   -2.918605   -1.687008   -0.346261   0.266587    0.599454   
