# Teff   logg   Av   Bessell_U   Bessell_B   Bessell_V   Bessell_R   Bessell_I   Gaia_G_EDR3   Gaia_BP_EDR3   Gaia_RP_EDR3   VISTA_Z     VISTA_Y    VISTA_J    VISTA_H    VISTA_Ks   DECam_u     DECam_g     DECam_r     DECam_i     DECam_z     DECam_Y     LSST_u      LSST_g      LSST_r      LSST_i      LSST_z      LSST_y     
  2800.0   -1.0     0.0    -8.115461   -7.97794    -6.405907   -4.145672   -1.940905   -3.480922     -6.556701      -1.962184      -0.97708    0.502988   1.915319   2.976097   3.350202   -6.514528   -6.854769   -5.02375    -2.631523   -1.081675   -0.380228   -8.740088   -7.334128   -5.45366    -2.910529   -1.665687   -0.561972  
  2800.0   -0.5     0.0    -7.579122   -7.494305   -6.058769   -3.874542   -1.697377   -3.243929     -6.212813      -1.740137      -0.781182   0.636326   1.955715   2.979497   3.308713   -6.268953   -6.513614   -4.738534   -2.37928    -0.884709   -0.220115   -8.201985   -6.922928   -5.15344    -2.653359   -1.445103   -0.388197  
  2800.0   0.0      0.0    -7.579122   -7.494305   -6.058769   -3.874542   -1.697377   -3.243929     -6.212813      -1.740137      -0.781182   0.636326   1.955715   2.979497   3.308713   -6.268953   -6.513614   -4.738534   -2.37928    -0.884709   -0.220115   -8.201985   -6.922928   -5.15344    -2.653359   -1.445103   -0.388197  
  2800.0   0.5      0.0    -6.53578    -6.542394   -5.450209   -3.376413   -1.213113   -2.777563     -5.604998      -1.297596      -0.377579   0.908974   2.042714   2.955734   3.196859   -5.715658   -5.830647   -4.264429   -1.884676   -0.48797    0.101777    -7.156354   -6.139234   -4.671636   -2.15153    -1.003055   -0.03706   
  2800.0   1.0      0.0    -6.06114    -6.112765   -5.22551    -3.175994   -0.997117   -2.572649     -5.371742      -1.100041      -0.191725   1.034032   2.084755   2.928225   3.130354   -5.430429   -5.525989   -4.103808   -1.666645   -0.307608   0.248012    -6.681416   -5.802636   -4.522883   -1.931355   -0.803377   0.123162   
  2800.0   1.5      0.0    -5.645012   -5.738847   -5.058447   -3.012138   -0.811219   -2.397596     -5.185008      -0.930094      -0.030069   1.143918   2.123977   2.890558   3.061208   -5.163146   -5.265694   -3.989428   -1.479394   -0.150934   0.375539    -6.265429   -5.51945    -4.426624   -1.741967   -0.630788   0.262825   
  2800.0   2.0      0.0    -5.395429   -5.486871   -5.036249   -2.931781   -0.730804   -2.297584     -5.09067       -0.834526      0.063749    1.201571   2.144764   2.816701   3.006618   -4.992178   -5.086618   -3.948069   -1.403874   -0.062988   0.446012    -6.00042    -5.362001   -4.43535    -1.669948   -0.535405   0.340242   
  2800.0   2.5      0.0    -5.145427   -5.200705   -4.653768   -2.674548   -0.480851   -2.085188     -4.768939      -0.639323      0.238074    1.299322   2.176207   2.760581   2.927639   -4.803894   -4.806788   -3.670763   -1.138561   0.093202    0.559364    -5.759558   -5.017477   -4.10265    -1.39536    -0.344465   0.469373   
  2800.0   3.0      0.0    -5.144173   -5.001823   -4.204479   -2.388022   -0.268573   -1.877552     -4.379229      -0.464128      0.390082    1.333877   2.149656   2.644415   2.876364   -4.760348   -4.484547   -3.284271   -0.911081   0.203893    0.613312    -5.748551   -4.657807   -3.666859   -1.164406   -0.181725   0.540813   
  2800.0   3.5      0.0    -5.331652   -4.943973   -3.871438   -2.178961   -0.145667   -1.748807     -4.087385      -0.36484       0.468855    1.31921    2.108879   2.586525   2.856      -4.843399   -4.284089   -2.95812    -0.772674   0.247119    0.611492    -5.93099    -4.432745   -3.289015   -1.022253   -0.096551   0.551998   
  2800.0   4.0      0.0    -5.643883   -5.02362    -3.761993   -2.092868   -0.100928   -1.701831     -3.994895      -0.330012      0.493248    1.289291   2.08445    2.574867   2.851564   -5.023362   -4.429024   -3.002123   -0.857312   0.19705     0.558451    -6.450916   -4.646326   -3.350971   -1.10842    -0.159615   0.501377   
