 FieldName     RA_deg     Dec_deg    G_SN_5
  ATLAS-0       30.350248  -33.098693 18.9  
  ATLAS-1       28.406544  -31.922932 19.1  
  ATLAS-3       24.569248  -29.628485 18.8  
  ATLAS-4       22.671638  -28.507177 18.6  
  ATLAS-5       20.784285  -27.396658 18.4  
  ATLAS-6       18.912949  -26.299787 18.7  
  ATLAS-7       17.046881  -25.215898 18.4  
  ATLAS-8       15.18639   -24.141606 18.5  
  ATLAS-10      11.485245  -22.025185 18.7  
  ATLAS-11      9.638663   -20.985328 18.5  
  Aliqa-Uma-1   39.653899  -37.658852 18.7  
  Aliqa-Uma-2   37.776994  -36.334496 18.8  
  Aliqa-Uma-3   35.96577   -34.980462 19.0  
  Aliqa-Uma-4   34.211411  -33.603704 19.1  
  Aliqa-Uma-5   32.51517   -32.198125 18.8  
  Chenab-1      331.107304 -44.179689 19.0  
  Chenab-2      330.10977  -46.05383  18.6  
  Chenab-3      329.045873 -47.914236 18.5  
  Chenab-4      327.900452 -49.766183 18.9  
  Chenab-5      326.663567 -51.606374 18.7  
  Chenab-6      325.321207 -53.432514 18.6  
  Chenab-7      323.861828 -55.24236  19.1  
  Chenab-8      322.259995 -57.03655  19.0  
  Chenab-9      320.500812 -58.80307  18.8  
  Elqui-0       22.107923  -43.089436 18.7  
  Elqui-1       19.813988  -42.02179  19.0  
  Elqui-2       17.594839  -40.909998 19.0  
  Elqui-3       15.453303  -39.757473 18.9  
  Elqui-4       13.383956  -38.56074  18.8  
  Elqui-5       11.380964  -37.334282 18.9  
  Indus-1       349.678452 -64.192996 17.6  
  Indus-2       345.944962 -63.071643 18.1  
  Indus-3       342.498793 -61.863658 18.5  
  Indus-4       339.324859 -60.573093 18.3  
  Indus-5       336.397623 -59.212635 18.1  
  Indus-6       333.700573 -57.792776 18.3  
  Indus-7       331.210566 -56.320239 18.5  
  Indus-8       328.910308 -54.804194 18.5  
  Jhelum-1      3.341637   -51.908154 18.4  
  Jhelum-2      0.100185   -51.978971 18.5  
  Jhelum-3      356.853568 -51.96094  18.5  
  Jhelum-4      353.614405 -51.853841 18.2  
  Jhelum-5      350.39817  -51.660569 18.6  
  Jhelum-6      347.216054 -51.376758 18.6  
  Jhelum-7      344.078713 -51.0111   18.8  
  Jhelum-8      340.996359 -50.560674 18.4  
  Jhelum-9      337.979644 -50.031113 18.7  
  Jhelum-10     335.02723  -49.426959 18.7  
  Jhelum-11     332.150927 -48.748199 17.8  
  Jhelum-13     326.650541 -47.188388 18.1  
  Jhelum-14     324.025939 -46.315883 18.8  
  Phoenix-1     27.522755  -43.434219 18.7  
  Phoenix-2     26.574314  -45.31632  18.8  
  Phoenix-3     25.563754  -47.189449 18.6  
  Phoenix-4     24.47843   -49.05584  18.7  
  Phoenix-5     23.306432  -50.906988 18.7  
  Phoenix-6     22.03899   -52.749837 18.7  
  Phoenix-7     20.661395  -54.573383 18.6  
  Ravi-0        344.584255 -60.354707 18.3  
  Ravi-1        343.013169 -58.52303  18.4  
  Ravi-2        341.596599 -56.670068 18.7  
  Ravi-3        340.313034 -54.807171 18.5  
  Ravi-4        339.142485 -52.93051  18.4  
  Ravi-7        336.166823 -47.240314 18.5  
  Ravi-8        335.318605 -45.326721 18.5  
  Turranburra-8 60.6021    -18.782405 18.4  
  Willka-Yaku-0 38.631197  -57.506521 18.6  
  Willka-Yaku-1 38.03716   -59.482054 18.7  
  Willka-Yaku-2 37.367524  -61.453825 18.7  
  Willka-Yaku-3 36.606647  -63.423661 18.8  
  Orphan-0      333.495287 -35.792559 18.0  
  Orphan-5      311.994544 -65.29157  17.8  
  Orphan-6      300.961865 -70.170982 17.3  
  Orphan-7      284.073327 -73.980884 17.5  
  Orphan-8      260.29233  -75.842149 17.9  
  Orphan-9      234.767419 -75.015676 17.6  
  Orphan-10     214.945014 -71.858611 17.5  
  Orphan-11     201.72854  -67.327261 18.1  
  Orphan-13     246.613855 -75.77818  17.8  
  Orphan-14     272.560733 -75.241258 18.3  
  Orphan-15     293.352126 -72.317383 18.1  
  Orphan-16     306.91629  -67.777798 17.9  
  Orphan-17     316.524807 -62.12474  18.1  
  Orphan-23     188.42055  -58.979594 18.2  
  Orphan-24     184.921533 -55.456617 17.4  
  Orphan-25     182.010398 -51.845786 17.2  
  Orphan-26     179.579995 -48.163979 17.2  
  Orphan-28     175.866616 -40.612588 17.7  
  Orphan-30     173.301936 -32.863553 18.0  
  Orphan-32     170.967451 -25.124912 18.0  
  Orphan-33     169.618942 -21.320312 17.5  
  Orphan-34     168.164652 -17.552359 18.3  
  Orphan-35     166.63513  -13.8056   18.3  
  Orphan-36     165.06883  -10.070858 18.5  
  Orphan-38     161.936058 -2.604385  18.4  
